Dataset,Sequencing Type,Experimental Strategy,Tumor Stage,Disease,Number of Biospecimens
CHOP P30 Panel,RNA,Fusion Panel,primary,Acute Lymphoblastic Leukemia,6
CHOP P30 Panel,RNA,Fusion Panel,relapse,Acute Lymphoblastic Leukemia,6
CHOP P30 Panel,RNA,Fusion Panel,primary,Acute Myeloid Leukemia,12
CHOP P30 Panel,RNA,Fusion Panel,relapse,Acute Myeloid Leukemia,14
CHOP P30 Panel,RNA,Fusion Panel,primary,Adamantinomatous Craniopharyngioma,7
CHOP P30 Panel,RNA,Fusion Panel,relapse,Adamantinomatous Craniopharyngioma,4
CHOP P30 Panel,RNA,Fusion Panel,primary,Atypical Teratoid Rhabdoid Tumor,10
CHOP P30 Panel,RNA,Fusion Panel,relapse,Atypical Teratoid Rhabdoid Tumor,6
CHOP P30 Panel,RNA,Fusion Panel,primary,B Acute Lymphoblastic Leukemia/Lymphoma,47
CHOP P30 Panel,RNA,Fusion Panel,relapse,B Acute Lymphoblastic Leukemia/Lymphoma,35
CHOP P30 Panel,RNA,Fusion Panel,primary,CNS Embryonal tumor,3
CHOP P30 Panel,RNA,Fusion Panel,primary,Choroid plexus carcinoma,3
CHOP P30 Panel,RNA,Fusion Panel,primary,Choroid plexus papilloma,8
CHOP P30 Panel,RNA,Fusion Panel,primary,Diffuse intrinsic pontine glioma,8
CHOP P30 Panel,RNA,Fusion Panel,primary,Dysembryoplastic neuroepithelial tumor,13
CHOP P30 Panel,RNA,Fusion Panel,relapse,Dysembryoplastic neuroepithelial tumor,3
CHOP P30 Panel,RNA,Fusion Panel,primary,Ependymoma,25
CHOP P30 Panel,RNA,Fusion Panel,relapse,Ependymoma,13
CHOP P30 Panel,RNA,Fusion Panel,primary,Ewing sarcoma,7
CHOP P30 Panel,RNA,Fusion Panel,relapse,Ewing sarcoma,3
CHOP P30 Panel,RNA,Fusion Panel,primary,Ganglioglioma,21
CHOP P30 Panel,RNA,Fusion Panel,relapse,Ganglioglioma,4
CHOP P30 Panel,RNA,Fusion Panel,primary,Glial-neuronal tumor,8
CHOP P30 Panel,RNA,Fusion Panel,primary,Hemangioblastoma,4
CHOP P30 Panel,RNA,Fusion Panel,primary,Hepatoblastoma,4
CHOP P30 Panel,RNA,Fusion Panel,primary,High-grade glioma,40
CHOP P30 Panel,RNA,Fusion Panel,relapse,High-grade glioma,16
CHOP P30 Panel,RNA,Fusion Panel,primary,Histiocytic tumor,5
CHOP P30 Panel,RNA,Fusion Panel,primary,Inflammatory Myofibroblastic Tumor,5
CHOP P30 Panel,RNA,Fusion Panel,primary,Langerhans Cell histiocytosis,9
CHOP P30 Panel,RNA,Fusion Panel,primary,Low-grade glioma,93
CHOP P30 Panel,RNA,Fusion Panel,relapse,Low-grade glioma,47
CHOP P30 Panel,RNA,Fusion Panel,primary,Medulloblastoma,34
CHOP P30 Panel,RNA,Fusion Panel,relapse,Medulloblastoma,3
CHOP P30 Panel,RNA,Fusion Panel,primary,Meningioma,7
CHOP P30 Panel,RNA,Fusion Panel,relapse,Meningioma,3
CHOP P30 Panel,RNA,Fusion Panel,primary,Neuroblastoma,21
CHOP P30 Panel,RNA,Fusion Panel,relapse,Neuroblastoma,8
CHOP P30 Panel,RNA,Fusion Panel,relapse,Neurofibroma/Plexiform,3
CHOP P30 Panel,RNA,Fusion Panel,primary,Osteosarcoma,6
CHOP P30 Panel,RNA,Fusion Panel,primary,Pilocytic astrocytoma,26
CHOP P30 Panel,RNA,Fusion Panel,relapse,Pilocytic astrocytoma,15
CHOP P30 Panel,RNA,Fusion Panel,primary,Pineoblastoma,4
CHOP P30 Panel,RNA,Fusion Panel,primary,Pleomorphic xanthoastrocytoma,3
CHOP P30 Panel,RNA,Fusion Panel,primary,Rhabdomyosarcoma,17
CHOP P30 Panel,RNA,Fusion Panel,relapse,Rhabdomyosarcoma,5
CHOP P30 Panel,RNA,Fusion Panel,primary,Sarcoma,6
CHOP P30 Panel,RNA,Fusion Panel,relapse,Sarcoma,3
CHOP P30 Panel,RNA,Fusion Panel,primary,Schwannoma,7
CHOP P30 Panel,RNA,Fusion Panel,primary,T Acute Lymphoblastic Leukemia/Lymphoma,8
CHOP P30 Panel,RNA,Fusion Panel,primary,Teratoma,3
CHOP P30 Panel,RNA,Fusion Panel,primary,Thyroid Gland Papillary Carcinoma,20
CHOP P30 Panel,RNA,Fusion Panel,relapse,Thyroid Gland Papillary Carcinoma,4
CHOP P30 Panel,RNA,Fusion Panel,primary,Wilms tumor,6
GMKF,DNA,WGS/WXS,primary,Ganglioneuroblastoma,36
GMKF,RNA,RNA-Seq,primary,Ganglioneuroblastoma,25
GMKF,DNA,WGS/WXS,primary,Ganglioneuroma,3
GMKF,DNA,WGS/WXS,primary,Neuroblastoma,297
GMKF,RNA,RNA-Seq,primary,Neuroblastoma,183
GTEx,RNA,RNA-Seq,normal,NA,17382
PBTA,DNA,WGS/WXS,primary,Adamantinomatous Craniopharyngioma,51
PBTA,DNA,WGS/WXS,relapse,Adamantinomatous Craniopharyngioma,23
PBTA,Methylation Array,Methylation,primary,Adamantinomatous Craniopharyngioma,49
PBTA,Methylation Array,Methylation,relapse,Adamantinomatous Craniopharyngioma,22
PBTA,RNA,RNA-Seq,primary,Adamantinomatous Craniopharyngioma,43
PBTA,RNA,RNA-Seq,relapse,Adamantinomatous Craniopharyngioma,15
PBTA,Methylation Array,Methylation,primary,Astroblastoma,1
PBTA,DNA,WGS/WXS,primary,Atypical Teratoid Rhabdoid Tumor,49
PBTA,DNA,WGS/WXS,relapse,Atypical Teratoid Rhabdoid Tumor,16
PBTA,Methylation Array,Methylation,primary,Atypical Teratoid Rhabdoid Tumor,48
PBTA,Methylation Array,Methylation,relapse,Atypical Teratoid Rhabdoid Tumor,16
PBTA,RNA,RNA-Seq,primary,Atypical Teratoid Rhabdoid Tumor,45
PBTA,RNA,RNA-Seq,relapse,Atypical Teratoid Rhabdoid Tumor,14
PBTA,Methylation Array,Methylation,primary,Atypical choroid plexus papilloma,3
PBTA,Methylation Array,Methylation,relapse,Atypical choroid plexus papilloma,1
PBTA,Methylation Array,Methylation,primary,CNS Burkitt's lymphoma,1
PBTA,DNA,WGS/WXS,primary,CNS Embryonal tumor,13
PBTA,DNA,WGS/WXS,relapse,CNS Embryonal tumor,7
PBTA,Methylation Array,Methylation,primary,CNS Embryonal tumor,10
PBTA,Methylation Array,Methylation,relapse,CNS Embryonal tumor,6
PBTA,RNA,RNA-Seq,primary,CNS Embryonal tumor,12
PBTA,RNA,RNA-Seq,relapse,CNS Embryonal tumor,8
PBTA,Methylation Array,Methylation,primary,CNS neuroblastoma,1
PBTA,Methylation Array,Methylation,relapse,CNS neuroblastoma,1
PBTA,DNA,WGS/WXS,primary,Cavernoma,6
PBTA,Methylation Array,Methylation,primary,Cavernoma,2
PBTA,Methylation Array,Methylation,relapse,Central neurocytoma,1
PBTA,DNA,WGS/WXS,primary,Chordoma,7
PBTA,Methylation Array,Methylation,primary,Chordoma,2
PBTA,Methylation Array,Methylation,relapse,Chordoma,1
PBTA,RNA,RNA-Seq,primary,Chordoma,5
PBTA,RNA,RNA-Seq,relapse,Chordoma,3
PBTA,DNA,WGS/WXS,primary,Choroid plexus carcinoma,8
PBTA,DNA,WGS/WXS,relapse,Choroid plexus carcinoma,5
PBTA,Methylation Array,Methylation,primary,Choroid plexus carcinoma,11
PBTA,Methylation Array,Methylation,relapse,Choroid plexus carcinoma,4
PBTA,RNA,RNA-Seq,primary,Choroid plexus carcinoma,10
PBTA,RNA,RNA-Seq,relapse,Choroid plexus carcinoma,5
PBTA,DNA,WGS/WXS,primary,Choroid plexus papilloma,27
PBTA,Methylation Array,Methylation,primary,Choroid plexus papilloma,29
PBTA,Methylation Array,Methylation,relapse,Choroid plexus papilloma,1
PBTA,RNA,RNA-Seq,primary,Choroid plexus papilloma,23
PBTA,Methylation Array,Methylation,primary,Choroid plexus tumor,1
PBTA,DNA,WGS/WXS,primary,Craniopharyngioma,16
PBTA,DNA,WGS/WXS,relapse,Craniopharyngioma,3
PBTA,Methylation Array,Methylation,primary,Craniopharyngioma,16
PBTA,Methylation Array,Methylation,relapse,Craniopharyngioma,4
PBTA,RNA,RNA-Seq,primary,Craniopharyngioma,13
PBTA,RNA,RNA-Seq,relapse,Craniopharyngioma,3
PBTA,Methylation Array,Methylation,primary,Desmoplastic infantile astrocytoma and ganglioglioma,1
PBTA,Methylation Array,Methylation,relapse,Desmoplastic infantile astrocytoma and ganglioglioma,1
PBTA,DNA,WGS/WXS,primary,Diffuse hemispheric glioma,18
PBTA,DNA,WGS/WXS,relapse,Diffuse hemispheric glioma,3
PBTA,Methylation Array,Methylation,primary,Diffuse hemispheric glioma,10
PBTA,Methylation Array,Methylation,relapse,Diffuse hemispheric glioma,6
PBTA,RNA,RNA-Seq,primary,Diffuse hemispheric glioma,22
PBTA,RNA,RNA-Seq,relapse,Diffuse hemispheric glioma,6
PBTA,Methylation Array,Methylation,primary,Diffuse intrinsic pontine glioma,2
PBTA,Methylation Array,Methylation,relapse,Diffuse intrinsic pontine glioma,2
PBTA,RNA,RNA-Seq,primary,Diffuse intrinsic pontine glioma,4
PBTA,RNA,RNA-Seq,relapse,Diffuse intrinsic pontine glioma,6
PBTA,Methylation Array,Methylation,relapse,Diffuse leptomeningeal glioneuronal tumor,1
PBTA,DNA,WGS/WXS,primary,Diffuse midline glioma,123
PBTA,DNA,WGS/WXS,relapse,Diffuse midline glioma,54
PBTA,Methylation Array,Methylation,primary,Diffuse midline glioma,61
PBTA,Methylation Array,Methylation,relapse,Diffuse midline glioma,49
PBTA,RNA,RNA-Seq,primary,Diffuse midline glioma,116
PBTA,RNA,RNA-Seq,relapse,Diffuse midline glioma,48
PBTA,DNA,WGS/WXS,primary,Dysembryoplastic neuroepithelial tumor,37
PBTA,DNA,WGS/WXS,relapse,Dysembryoplastic neuroepithelial tumor,10
PBTA,Methylation Array,Methylation,primary,Dysembryoplastic neuroepithelial tumor,39
PBTA,Methylation Array,Methylation,relapse,Dysembryoplastic neuroepithelial tumor,9
PBTA,RNA,RNA-Seq,primary,Dysembryoplastic neuroepithelial tumor,31
PBTA,RNA,RNA-Seq,relapse,Dysembryoplastic neuroepithelial tumor,8
PBTA,Methylation Array,Methylation,primary,Embryonal tumor with multilayer rosettes,3
PBTA,Methylation Array,Methylation,relapse,Embryonal tumor with multilayer rosettes,1
PBTA,RNA,RNA-Seq,primary,Embryonal tumor with multilayer rosettes,3
PBTA,DNA,WGS/WXS,primary,Ependymoma,120
PBTA,DNA,WGS/WXS,relapse,Ependymoma,44
PBTA,Methylation Array,Methylation,primary,Ependymoma,173
PBTA,Methylation Array,Methylation,relapse,Ependymoma,69
PBTA,RNA,RNA-Seq,primary,Ependymoma,116
PBTA,RNA,RNA-Seq,relapse,Ependymoma,47
PBTA,Methylation Array,Methylation,primary,Epstein-Barr virus-related tumor,1
PBTA,DNA,WGS/WXS,primary,Ewing sarcoma,12
PBTA,DNA,WGS/WXS,relapse,Ewing sarcoma,4
PBTA,Methylation Array,Methylation,primary,Ewing sarcoma,12
PBTA,Methylation Array,Methylation,relapse,Ewing sarcoma,4
PBTA,RNA,RNA-Seq,primary,Ewing sarcoma,10
PBTA,RNA,RNA-Seq,relapse,Ewing sarcoma,3
PBTA,Methylation Array,Methylation,primary,Extraventricular neurocytoma,1
PBTA,DNA,WGS/WXS,primary,Ganglioglioma,72
PBTA,DNA,WGS/WXS,relapse,Ganglioglioma,18
PBTA,Methylation Array,Methylation,primary,Ganglioglioma,37
PBTA,Methylation Array,Methylation,relapse,Ganglioglioma,10
PBTA,RNA,RNA-Seq,primary,Ganglioglioma,64
PBTA,RNA,RNA-Seq,relapse,Ganglioglioma,16
PBTA,DNA,WGS/WXS,relapse,Ganglioneuroblastoma,3
PBTA,Methylation Array,Methylation,primary,Ganglioneuroblastoma,2
PBTA,Methylation Array,Methylation,relapse,Ganglioneuroblastoma,2
PBTA,Methylation Array,Methylation,primary,Ganglioneuroma,2
PBTA,Methylation Array,Methylation,relapse,Ganglioneuroma,2
PBTA,DNA,WGS/WXS,primary,Germinoma,6
PBTA,Methylation Array,Methylation,primary,Germinoma,4
PBTA,RNA,RNA-Seq,primary,Germinoma,8
PBTA,DNA,WGS/WXS,primary,Glial-neuronal tumor,20
PBTA,DNA,WGS/WXS,relapse,Glial-neuronal tumor,8
PBTA,Methylation Array,Methylation,primary,Glial-neuronal tumor,21
PBTA,Methylation Array,Methylation,relapse,Glial-neuronal tumor,6
PBTA,RNA,RNA-Seq,primary,Glial-neuronal tumor,17
PBTA,RNA,RNA-Seq,relapse,Glial-neuronal tumor,7
PBTA,RNA,RNA-Seq,primary,Glioblastoma,3
PBTA,DNA,WGS/WXS,primary,Hemangioblastoma,7
PBTA,Methylation Array,Methylation,primary,Hemangioblastoma,3
PBTA,Methylation Array,Methylation,relapse,Hemangioblastoma,1
PBTA,RNA,RNA-Seq,primary,Hemangioblastoma,4
PBTA,DNA,WGS/WXS,primary,High-grade glioma,101
PBTA,DNA,WGS/WXS,relapse,High-grade glioma,48
PBTA,Methylation Array,Methylation,primary,High-grade glioma,71
PBTA,Methylation Array,Methylation,relapse,High-grade glioma,56
PBTA,RNA,RNA-Seq,primary,High-grade glioma,125
PBTA,RNA,RNA-Seq,relapse,High-grade glioma,50
PBTA,Methylation Array,Methylation,primary,Histiocytic tumor,1
PBTA,DNA,WGS/WXS,primary,Infant-type hemispheric glioma,6
PBTA,Methylation Array,Methylation,primary,Infant-type hemispheric glioma,6
PBTA,Methylation Array,Methylation,relapse,Infant-type hemispheric glioma,4
PBTA,RNA,RNA-Seq,primary,Infant-type hemispheric glioma,6
PBTA,RNA,RNA-Seq,relapse,Infant-type hemispheric glioma,4
PBTA,Methylation Array,Methylation,relapse,Inflammatory Myofibroblastic Tumor,1
PBTA,Methylation Array,Methylation,primary,Intraneural perineuroma,1
PBTA,DNA,WGS/WXS,primary,Langerhans Cell histiocytosis,9
PBTA,Methylation Array,Methylation,primary,Langerhans Cell histiocytosis,4
PBTA,RNA,RNA-Seq,primary,Langerhans Cell histiocytosis,5
PBTA,DNA,WGS/WXS,primary,Low-grade glioma,346
PBTA,DNA,WGS/WXS,relapse,Low-grade glioma,84
PBTA,Methylation Array,Methylation,primary,Low-grade glioma,195
PBTA,Methylation Array,Methylation,relapse,Low-grade glioma,39
PBTA,RNA,RNA-Seq,primary,Low-grade glioma,334
PBTA,RNA,RNA-Seq,relapse,Low-grade glioma,78
PBTA,DNA,WGS/WXS,primary,Malignant peripheral nerve sheath tumor,4
PBTA,Methylation Array,Methylation,primary,Malignant peripheral nerve sheath tumor,1
PBTA,Methylation Array,Methylation,relapse,Malignant peripheral nerve sheath tumor,3
PBTA,RNA,RNA-Seq,relapse,Malignant peripheral nerve sheath tumor,4
PBTA,DNA,WGS/WXS,primary,Medulloblastoma,219
PBTA,DNA,WGS/WXS,relapse,Medulloblastoma,20
PBTA,Methylation Array,Methylation,primary,Medulloblastoma,225
PBTA,Methylation Array,Methylation,relapse,Medulloblastoma,29
PBTA,RNA,RNA-Seq,primary,Medulloblastoma,206
PBTA,RNA,RNA-Seq,relapse,Medulloblastoma,31
PBTA,Methylation Array,Methylation,primary,Melanocytic tumor,1
PBTA,DNA,WGS/WXS,primary,Meningioma,45
PBTA,DNA,WGS/WXS,relapse,Meningioma,8
PBTA,Methylation Array,Methylation,primary,Meningioma,38
PBTA,Methylation Array,Methylation,relapse,Meningioma,12
PBTA,RNA,RNA-Seq,primary,Meningioma,31
PBTA,RNA,RNA-Seq,relapse,Meningioma,11
PBTA,Methylation Array,Methylation,relapse,Mesenchymal tumor,1
PBTA,DNA,WGS/WXS,relapse,Mixed germ cell tumor,3
PBTA,Methylation Array,Methylation,relapse,Mixed germ cell tumor,1
PBTA,DNA,WGS/WXS,primary,Neuroblastoma,4
PBTA,DNA,WGS/WXS,relapse,Neuroblastoma,5
PBTA,Methylation Array,Methylation,primary,Neuroblastoma,3
PBTA,Methylation Array,Methylation,relapse,Neuroblastoma,7
PBTA,RNA,RNA-Seq,relapse,Neuroblastoma,6
PBTA,DNA,WGS/WXS,primary,Neurofibroma/Plexiform,11
